node,degree,clustering,pagerank,triangles,avg_neighbor_degree,std_neighbor_degree,label
0,347,0.0419616531458746,0.0062896026184665,2519,18.959654178674352,57.62037731828173,1
1,17,0.4191176470588235,0.0002359020231154,57,48.23529411764706,76.90752997002286,0
2,10,0.8888888888888888,0.0002031056509169,40,49.9,99.13672377076014,0
3,17,0.6323529411764706,0.0002255235986943,86,59.76470588235294,75.13010629549461,0
4,10,0.8666666666666667,0.0002384926470122,39,42.6,101.47531719585804,0
5,13,0.3333333333333333,0.0002023481206897,26,50.61538461538461,87.38996462500577,0
6,6,0.9333333333333332,0.0001800186713563,14,63.5,126.78820923098488,0
7,20,0.431578947368421,0.0002626766711151,82,45.9,75.22625871329772,0
8,8,0.6785714285714286,0.0002373730015265,19,48.375,112.87818378677078,0
9,57,0.3972431077694235,0.0006001572433028,634,42.40350877192982,45.45977965890165,0
10,10,0.8222222222222222,0.0001350486595889,37,79.1,90.1437185831603,0
11,1,0.0,5.259142327621832e-05,0,347.0,0.0,0
12,1,0.0,5.259142327621832e-05,0,347.0,0.0,0
13,31,0.6516129032258065,0.000330641957623,303,54.54838709677419,56.20288059985114,0
14,15,0.7428571428571429,0.0002886439803414,78,38.66666666666666,82.52972528462429,0
15,1,0.0,5.259142327621832e-05,0,347.0,0.0,0
16,9,0.6666666666666666,0.0001332430576919,24,66.88888888888889,99.46349910555624,0
17,13,0.7307692307692307,0.0002600098742952,57,42.76923076923077,87.91792837742204,0
18,1,0.0,5.259142327621832e-05,0,347.0,0.0,0
19,16,0.2833333333333333,0.0003806431405636,34,33.125,81.4032209129344,0
20,15,0.6857142857142857,0.0002929753760006,72,37.4,82.93435154787592,0
21,65,0.3490384615384615,0.0006928319433106,726,42.4,44.476718196585296,0
22,11,0.4727272727272727,0.0001638567286952,26,53.72727272727273,93.85781403910038,0
23,17,0.1691176470588235,0.0004043263404882,23,28.11764705882353,79.8829160510344,0
24,16,0.9,0.0002282401120926,108,41.625,78.94212674485024,0
25,69,0.2885763000852515,0.0008004126605197,677,36.94202898550725,43.12364563988674,0
26,68,0.4113257243195786,0.0006922746319436,937,42.27941176470589,41.3840853142973,0
27,5,0.9,9.900477693053426e-05,9,94.6,127.39481936091435,0
28,13,0.7692307692307693,0.0002552192093758,60,41.76923076923077,88.2532665302222,0
29,13,0.4615384615384615,0.0001915495548012,36,54.0,86.6416137359481,0
30,17,0.5,0.0002121964513121,68,59.23529411764706,74.89249503888081,0
31,23,0.4347826086956521,0.0002993619581806,110,50.04347826086956,67.52357286347878,0
32,6,1.0,0.0001478893714943,15,66.66666666666667,125.40689330690272,0
33,2,1.0,9.172093610965164e-05,1,174.5,172.5,0
34,5,0.6,9.24844339669894e-05,6,172.4,112.15275297557343,0
35,2,1.0,7.353643512923525e-05,1,179.5,167.5,0
36,11,0.9636363636363636,0.0001850267791448,53,45.18181818181818,95.49280618485275,0
37,1,0.0,5.259142327621832e-05,0,347.0,0.0,0
38,9,0.3611111111111111,0.0001412614393849,13,64.11111111111111,101.6578623995917,0
39,15,0.4952380952380952,0.0001946835965321,52,57.53333333333333,80.23869944664415,0
40,44,0.4048625792811839,0.0004956290864477,383,45.25,50.56504586803381,0
41,24,0.4673913043478261,0.0004653060453829,129,27.791666666666668,66.71892483063223,0
42,2,1.0,9.172093610965164e-05,1,174.5,172.5,0
43,1,0.0,5.259142327621832e-05,0,347.0,0.0,0
44,6,1.0,0.0001369428695531,15,74.0,122.16791722870616,0
45,12,0.7272727272727273,0.0001596025527911,48,66.25,87.43771592777722,0
46,5,1.0,0.0001331236207643,10,79.4,133.82167238530536,0
47,2,1.0,8.030042198440289e-05,1,175.0,172.0,0
48,22,0.329004329004329,0.0002927279538099,76,43.72727272727273,69.10675655572972,0
49,4,0.5,0.0001556479090513,3,89.0,148.96140439724647,0
50,11,0.5636363636363636,0.0001528526277295,31,63.54545454545455,91.5178707201879,0
51,7,0.8571428571428571,0.000140514909117,18,69.0,115.21904604460396,0
52,2,1.0,8.219518722798913e-05,1,176.0,171.0,0
53,31,0.3827956989247312,0.0004152551804378,178,32.483870967741936,59.03791617516603,0
54,8,0.5714285714285714,0.0001346315395348,16,68.875,106.26080827379396,0
55,17,0.8308823529411765,0.0001974012844596,113,70.82352941176471,71.02794420600591,0
56,78,0.3486513486513486,0.0008039024292749,1047,40.66666666666666,40.85737126057899,0
57,15,0.5238095238095238,0.0002138018190735,55,46.8,81.1214727019507,0
58,12,0.2727272727272727,0.0002140200122994,18,250.33333333333331,371.7798034081762,1
59,19,0.7777777777777778,0.0002239373107694,133,57.578947368421055,70.67815547996327,0
60,8,0.6785714285714286,0.0001179214817815,19,87.625,99.51876393424509,0
61,3,0.6666666666666666,9.993081338694414e-05,2,123.0,158.46766231632245,0
62,26,0.5230769230769231,0.0002941181873025,170,52.11538461538461,62.38116513270339,0
63,6,1.0,9.762401994576604e-05,15,101.16666666666669,111.34243974733484,0
64,7,0.9523809523809524,0.0001430431784423,20,66.57142857142857,115.90002729305378,0
65,12,0.5,0.0001601144329388,33,63.5,87.10003827017911,0
66,15,0.8761904761904762,0.0001789199562535,92,72.46666666666667,75.4832137336213,0
67,76,0.3614035087719298,0.0007724556453836,1030,41.69736842105263,40.983635931032566,0
68,9,0.8333333333333334,0.0002148787477633,30,48.77777777777778,105.48383528376678,0
69,10,0.6444444444444445,0.0001410081446777,29,75.0,93.5564001017568,0
70,2,1.0,7.684630684627396e-05,1,178.0,169.0,0
71,3,1.0,0.0001014833055309,3,120.0,160.5262180039967,0
72,24,0.605072463768116,0.0002733935497308,167,56.583333333333336,64.06826871045881,0
73,10,0.5333333333333333,0.0001580161467792,24,55.5,98.45531981564024,0
74,1,0.0,5.259142327621832e-05,0,347.0,0.0,0
75,14,0.7582417582417582,0.0001760093569875,69,68.78571428571429,79.87416762045927,0
76,3,1.0,8.258166400536363e-05,3,140.0,148.75707266098868,0
77,6,0.6,0.0001206297806648,9,77.33333333333333,121.65342393683603,0
78,9,1.0,0.0002169317012418,36,46.888888888888886,106.10628261265464,0
79,12,0.9393939393939394,0.0001529041079086,62,82.75,80.77760106201058,0
80,23,0.5217391304347826,0.0003147536612291,132,35.78260869565217,67.00548745973308,0
81,3,0.6666666666666666,0.0001075278055527,2,118.33333333333331,161.69999656428226,0
82,34,0.4171122994652406,0.0003849000964535,234,42.38235294117647,56.75127088801487,0
83,7,0.8571428571428571,0.000140514909117,18,69.0,115.21904604460396,0
84,13,0.4230769230769231,0.0001910777318571,33,53.53846153846154,86.53111079891829,0
