node,degree,clustering,pagerank,triangles,avg_neighbor_degree,std_neighbor_degree
0,347,0.04202828538588396,0.006190875179444013,2523,19.014409221902017,57.972987050287706
1,17,0.41911764705882354,0.0002345912838649738,57,48.23529411764706,76.90752997002286
2,10,0.8888888888888888,0.0002022475558284246,40,49.9,99.13672377076014
3,17,0.6323529411764706,0.0002243094225201049,86,59.76470588235294,75.13010629549461
4,10,0.8666666666666667,0.0002374552411857506,39,42.6,101.47531719585804
5,13,0.3333333333333333,0.00020134121512253945,26,50.61538461538461,87.38996462500577
6,6,0.9333333333333333,0.00017921901659954934,14,63.5,126.78820923098488
7,20,0.43157894736842106,0.0002612846818530521,82,45.9,75.22625871329772
8,8,0.6785714285714286,0.0002363185489994872,19,48.375,112.87818378677078
9,57,0.39724310776942356,0.0005962861527409395,634,42.40350877192982,45.45977965890165
10,10,0.8222222222222222,0.00013428309436661735,37,79.1,90.1437185831603
11,1,0.0,5.235007615455422e-05,0,347.0,0.0
12,4,0.3333333333333333,6.936650596698214e-05,2,741.0,253.02470235137122
13,31,0.6516129032258065,0.00032847167109475154,303,54.54838709677419,56.20288059985114
14,15,0.7428571428571429,0.0002874326485963197,78,38.666666666666664,82.52972528462429
15,1,0.0,5.235007615455422e-05,0,347.0,0.0
16,9,0.6666666666666666,0.00013236901882625798,24,66.88888888888889,99.46349910555624
17,13,0.7307692307692307,0.00025891060595306203,57,42.76923076923077,87.91792837742204
18,1,0.0,5.235007615455422e-05,0,347.0,0.0
19,16,0.2833333333333333,0.0003789861548080993,34,33.125,81.4032209129344
20,15,0.6857142857142857,0.0002917435596556493,72,37.4,82.93435154787592
21,65,0.3490384615384615,0.0006887191362684039,726,42.4,44.476718196585296
22,11,0.4727272727272727,0.00016287759127770846,26,53.72727272727273,93.85781403910038
23,17,0.16911764705882354,0.00040249790459618684,23,28.11764705882353,79.8829160510344
24,16,0.9,0.0002271548892496084,108,41.625,78.94212674485024
