node,degree,clustering,pagerank,triangles,avg_neighbor_degree,std_neighbor_degree
0,347,0.04196165314587463,0.006289602618466542,2519,18.959654178674352,57.62037731828173
1,17,0.41911764705882354,0.00023590202311540972,57,48.23529411764706,76.90752997002286
2,10,0.8888888888888888,0.00020310565091694567,40,49.9,99.13672377076014
3,17,0.6323529411764706,0.00022552359869430614,86,59.76470588235294,75.13010629549461
4,10,0.8666666666666667,0.00023849264701222462,39,42.6,101.47531719585804
5,13,0.3333333333333333,0.00020234812068977809,26,50.61538461538461,87.38996462500577
6,6,0.9333333333333333,0.00018001867135639642,14,63.5,126.78820923098488
7,20,0.43157894736842106,0.00026267667111515796,82,45.9,75.22625871329772
8,8,0.6785714285714286,0.00023737300152657922,19,48.375,112.87818378677078
9,57,0.39724310776942356,0.0006001572433028075,634,42.40350877192982,45.45977965890165
10,10,0.8222222222222222,0.00013504865958890368,37,79.1,90.1437185831603
11,1,0.0,5.2591423276218314e-05,0,347.0,0.0
12,1,0.0,5.2591423276218314e-05,0,347.0,0.0
13,31,0.6516129032258065,0.0003306419576230765,303,54.54838709677419,56.20288059985114
14,15,0.7428571428571429,0.00028864398034146046,78,38.666666666666664,82.52972528462429
15,1,0.0,5.2591423276218314e-05,0,347.0,0.0
16,9,0.6666666666666666,0.00013324305769198052,24,66.88888888888889,99.46349910555624
17,13,0.7307692307692307,0.00026000987429524483,57,42.76923076923077,87.91792837742204
18,1,0.0,5.2591423276218314e-05,0,347.0,0.0
19,16,0.2833333333333333,0.00038064314056362173,34,33.125,81.4032209129344
20,15,0.6857142857142857,0.00029297537600066995,72,37.4,82.93435154787592
21,65,0.3490384615384615,0.0006928319433106635,726,42.4,44.476718196585296
22,11,0.4727272727272727,0.00016385672869526872,26,53.72727272727273,93.85781403910038
23,17,0.16911764705882354,0.0004043263404882842,23,28.11764705882353,79.8829160510344
24,16,0.9,0.00022824011209266327,108,41.625,78.94212674485024
25,69,0.2885763000852515,0.0008004126605197681,677,36.94202898550725,43.12364563988674
26,68,0.4113257243195786,0.0006922746319436038,937,42.279411764705884,41.3840853142973
27,5,0.9,9.900477693053426e-05,9,94.6,127.39481936091437
28,13,0.7692307692307693,0.0002552192093758929,60,41.76923076923077,88.2532665302222
29,13,0.46153846153846156,0.00019154955480122382,36,54.0,86.6416137359481
30,17,0.5,0.0002121964513121638,68,59.23529411764706,74.89249503888081
31,23,0.43478260869565216,0.00029936195818065976,110,50.04347826086956,67.52357286347878
32,6,1.0,0.00014788937149430478,15,66.66666666666667,125.40689330690273
33,2,1.0,9.172093610965165e-05,1,174.5,172.5
34,5,0.6,9.248443396698941e-05,6,172.4,112.15275297557345
35,2,1.0,7.353643512923525e-05,1,179.5,167.5
36,11,0.9636363636363636,0.0001850267791448929,53,45.18181818181818,95.49280618485275
37,1,0.0,5.2591423276218314e-05,0,347.0,0.0
38,9,0.3611111111111111,0.00014126143938496464,13,64.11111111111111,101.6578623995917
39,15,0.49523809523809526,0.00019468359653213862,52,57.53333333333333,80.23869944664415
40,44,0.4048625792811839,0.0004956290864477818,383,45.25,50.56504586803381
41,24,0.4673913043478261,0.00046530604538298797,129,27.791666666666668,66.71892483063223
42,2,1.0,9.172093610965165e-05,1,174.5,172.5
43,1,0.0,5.2591423276218314e-05,0,347.0,0.0
44,6,1.0,0.00013694286955319687,15,74.0,122.16791722870616
45,12,0.7272727272727273,0.0001596025527911737,48,66.25,87.43771592777722
46,5,1.0,0.00013312362076432354,10,79.4,133.82167238530536
47,2,1.0,8.030042198440289e-05,1,175.0,172.0
48,22,0.329004329004329,0.00029272795380994835,76,43.72727272727273,69.10675655572972
49,4,0.5,0.00015564790905136537,3,89.0,148.96140439724647
50,11,0.5636363636363636,0.00015285262772959924,31,63.54545454545455,91.5178707201879
51,7,0.8571428571428571,0.00014051490911703464,18,69.0,115.21904604460397
52,2,1.0,8.219518722798913e-05,1,176.0,171.0
53,31,0.3827956989247312,0.00041525518043789315,178,32.483870967741936,59.03791617516603
54,8,0.5714285714285714,0.0001346315395348503,16,68.875,106.26080827379397
55,17,0.8308823529411765,0.00019740128445968694,113,70.82352941176471,71.02794420600591
56,78,0.34865134865134867,0.0008039024292749443,1047,40.666666666666664,40.85737126057899
57,15,0.5238095238095238,0.00021380181907352505,55,46.8,81.1214727019507
58,12,0.2727272727272727,0.00021402001229947393,18,250.33333333333334,371.77980340817624
59,19,0.7777777777777778,0.00022393731076947957,133,57.578947368421055,70.67815547996327
60,8,0.6785714285714286,0.0001179214817815534,19,87.625,99.51876393424509
61,3,0.6666666666666666,9.993081338694414e-05,2,123.0,158.46766231632245
62,26,0.5230769230769231,0.000294118187302578,170,52.11538461538461,62.38116513270339
63,6,1.0,9.762401994576605e-05,15,101.16666666666667,111.34243974733484
64,7,0.9523809523809523,0.00014304317844236687,20,66.57142857142857,115.90002729305378
65,12,0.5,0.00016011443293880614,33,63.5,87.10003827017911
66,15,0.8761904761904762,0.00017891995625352093,92,72.46666666666667,75.4832137336213
67,76,0.36140350877192984,0.0007724556453836683,1030,41.69736842105263,40.983635931032566
